iter	Passed	Remaining
0	5	5165
1	9	4767
2	13	4581
3	17	4466
4	22	4413
5	26	4331
6	30	4269
7	33	4198
8	37	4174
9	42	4164
10	46	4194
11	50	4183
12	54	4167
13	58	4151
14	62	4131
15	66	4118
16	71	4113
17	75	4117
18	79	4108
19	84	4119
20	88	4128
21	93	4144
22	97	4151
23	102	4149
24	106	4141
25	110	4138
26	115	4147
27	119	4165
28	124	4171
29	129	4171
30	133	4172
31	138	4176
32	142	4169
33	147	4181
34	151	4183
35	156	4185
36	160	4190
37	165	4194
38	171	4222
39	176	4225
40	181	4247
41	186	4259
42	191	4263
43	196	4266
44	200	4257
45	205	4256
46	212	4317
47	218	4339
48	223	4340
49	227	4330
50	232	4324
51	237	4323
52	241	4312
53	245	4298
54	250	4299
55	254	4298
56	259	4287
57	263	4276
58	267	4269
59	271	4261
60	276	4251
61	280	4248
62	285	4239
63	289	4228
64	293	4218
65	297	4213
66	301	4203
67	306	4195
68	311	4200
69	315	4194
70	319	4185
71	324	4181
72	329	4177
73	333	4174
74	337	4164
75	341	4154
76	345	4146
77	350	4138
78	354	4131
79	358	4122
80	363	4119
81	367	4112
82	371	4105
83	375	4097
84	381	4103
85	387	4123
86	393	4125
87	397	4124
88	402	4117
89	406	4109
90	410	4101
91	414	4093
92	418	4085
93	422	4076
94	427	4070
95	431	4065
96	435	4057
97	439	4049
98	444	4048
99	449	4043
100	453	4040
101	458	4037
102	462	4030
103	466	4022
104	470	4014
105	475	4006
106	479	3998
107	483	3993
108	487	3988
109	493	3993
110	497	3986
111	502	3982
112	506	3978
113	511	3974
114	515	3969
115	520	3964
116	524	3957
117	528	3952
118	532	3944
119	537	3943
120	542	3937
121	546	3936
122	551	3930
123	555	3924
124	559	3918
125	564	3912
126	567	3904
127	572	3898
128	576	3891
129	580	3884
130	584	3876
131	588	3872
132	593	3869
133	597	3863
134	601	3855
135	605	3849
136	610	3844
137	614	3839
138	618	3830
139	622	3823
140	626	3817
141	630	3810
142	634	3803
143	638	3797
144	643	3792
145	648	3790
146	652	3783
147	656	3778
148	660	3771
149	664	3765
150	668	3759
151	672	3753
152	676	3747
153	681	3741
154	685	3734
155	689	3729
156	693	3724
157	697	3719
158	701	3712
159	706	3709
160	711	3705
161	715	3699
162	719	3695
163	723	3689
164	728	3684
165	732	3679
166	736	3675
167	741	3672
168	745	3667
169	749	3661
170	754	3659
171	758	3653
172	763	3649
173	767	3644
174	772	3641
175	777	3639
176	781	3635
177	786	3630
178	790	3626
179	795	3622
180	799	3618
181	804	3617
182	808	3611
183	813	3606
184	816	3597
185	820	3592
186	824	3586
187	829	3580
188	833	3576
189	837	3570
190	841	3565
191	845	3560
192	850	3555
193	854	3551
194	858	3545
195	863	3540
196	867	3536
197	871	3531
198	876	3526
199	880	3520
200	885	3518
201	889	3514
202	894	3511
203	898	3507
204	903	3503
205	906	3494
206	910	3488
207	914	3483
208	918	3478
209	923	3475
210	928	3471
211	932	3466
212	937	3462
213	941	3457
214	946	3454
215	950	3450
216	954	3445
217	958	3439
218	961	3428
219	965	3423
220	969	3417
221	974	3415
222	978	3410
223	983	3405
224	987	3400
225	991	3394
226	995	3391
227	1000	3388
228	1005	3384
229	1009	3379
230	1014	3375
231	1018	3371
232	1022	3366
233	1027	3362
234	1031	3358
235	1035	3353
236	1040	3348
237	1044	3344
238	1049	3340
239	1053	3335
240	1057	3330
241	1061	3325
242	1065	3320
243	1069	3314
244	1073	3309
